31, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 18, False
32, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 18, False
33, 5, 2, 5, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 18, False
34, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 4 - 16, False
35, 5, 2, 3, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 16, False
36, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 4 - 16, False
37, 5, 2, 3, 4, 2, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 36 - 18, False
38, 5, 2, 3, 4, 2, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 36 - 18, False
39, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 36 - 18, False
40, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 37 - 39, False
41, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 37 - 39, False
42, 4, 1, 3, 3, 1, 1, 2, 5, 1, 4, 1, 4, 4, 3, 2, 4, 37 - 39, True
43, 4, 5, 4, 4, 5, 5, 5, 4, 5, 3, 4, 3, 5, 1, 3, 3, 41 - 34, True
44, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 41 - 34, False
45, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 41 - 34, False
46, 5, 2, 3, 4, 4, 2, 1, 4, 2, 5, 2, 4, 3, 1, 3, 3, 45 - 40, False
47, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 45 - 40, False
48, 5, 2, 3, 4, 4, 2, 1, 4, 2, 4, 2, 4, 3, 1, 3, 3, 45 - 40, False
